Search term,Matched via,Relevance class,Reason,Ad group,Impr.,Clicks,Cost,Conversions
pearly whites berkeley heights nj,AI Max,Irrelevant,No dental or orthodontic intent,Invisalign,4,0,0.0,0.0
endodontist nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,3,0,0.0,0.0
freda and suriano bloomfield nj,AI Max,Irrelevant,No dental or orthodontic intent,Invisalign,3,0,0.0,0.0
dentist 08876,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,3,0,0.0,0.0
mahesh shah dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,3,0,0.0,0.0
neil shusterman dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,3,0,0.0,0.0
veneers,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,3,0,0.0,0.0
dentist bound brook nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,3,0,0.0,0.0
dentist whitehouse station nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,3,0,0.0,0.0
rutgers dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,3,0,0.0,0.0
dentist patel near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,3,0,0.0,0.0
top dentist near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,3,0,0.0,0.0
ivy endodontics at princeton,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,2,0,0.0,0.0
new brunswick dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
dentist near to me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
princeton periodontics and implants,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
princeton oral surgery,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
oral surgeon nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,2,0,0.0,0.0
atk endodontics,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,2,0,0.0,0.0
daniel greenberg d m d,Broad match,Irrelevant,No dental or orthodontic intent,Braces,2,0,0.0,0.0
princeton prosthodontics,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,2,0,0.0,0.0
north brunswick dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,2,0,0.0,0.0
peter defazio dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,2,0,0.0,0.0
kaplan dentist bridgewater nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
jason lee dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
riverside oral surgery warren,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
dentist flemington,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
hillsborough oral surgery,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,2,0,0.0,0.0
prosthodontist,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,2,0,0.0,0.0
dentist on hillsborough,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
oral surgery group east brunswick,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Braces,2,0,0.0,0.0
neil shusterman dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,2,0,0.0,0.0
dentist near hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
robert garofalo dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
premier oral surgery,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,2,0,0.0,0.0
clinton endodontist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
jyoti shah dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,2,0,0.0,0.0
hillsborough dentist nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,2,0,0.0,0.0
saju george endodontist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,2,0,0.0,0.0
dentist that use laser near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
manville nj dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,2,0,0.0,0.0
new jersey oral and facial surgery,Broad match,Irrelevant,No dental or orthodontic intent,Invisalign,2,0,0.0,0.0
rutgers dentist newark nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
emergency dentist princeton,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
lawrenceville periodontics,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
dentist kendall park nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
oral surgery east brunswick,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
ridge oral surgery,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
dentist hamilton nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
marlboro dentist,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
richard stern oral surgeon,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
trenton dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
goldberg dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
ewing dentist,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
princeton oral and maxillofacial surgery,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
northeast facial and oral surgery,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
abc dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
oral maxillofacial surgery near me,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
dentist 08844,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
ruchi batra dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
glenn prager dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
oral surgery new brunswick,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
cosmetic dentist near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
oral surgeon middlesex nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
somerville dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
center for oral and maxillofacial surgery freehold,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
janhavi rane dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
holistic dentist near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
sloan dentist near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
endodontist somerville nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
hunterdon pediatrics dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist practices near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
teeth whitening zoom near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
family dentist hillsborough,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
holistic dentist princeton nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
periodontist hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
tina panchal dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
tender smiles dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
patricia lyons dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
hightstown dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist that take horizon nj family care,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
endodontist edison nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist new hope pa,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
warren endodontics,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
family dentist hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
holbrook dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
memoli dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist kaplan bridgewater nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
oral surgeon somerville nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
teeth whitening zoom near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
dentist north brunswick nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
dentist that take horizon nj family care,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
hillsborough periodontics,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
dentist montgomery nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
teeth whitening near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
neil shusterman dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
children dentist near me near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
riverside oral surgery,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
dentist kendall park nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
stellar dentist,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
kendall park dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
new jersey oral & maxillofacial surgery,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
veneers new jersey,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
endodontist bridgewater nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
stirling dentist,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
sim dentist,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist dunellen nj,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
oral surgeon branchburg nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
newtown oral surgery,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
hillsborough dentist nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
oral surgeon new jersey,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
oral surgery new jersey,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
tom distefano dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
emergency dentist princeton,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist franklin park nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
center for oral and maxillofacial surgery freehold,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
west jersey oral surgeons,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
dentist kennedy blvd,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
periodontist bridgewater nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
ridge oral surgery,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
paul kaplan dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist middlesex nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
central nj prosthodontics,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
dentist susan lee,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist somerville nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
jordan fried oral surgeon,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
endodontist hillsborough nj,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
rishi verma dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
sunny thakkar dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
dentist pediatric near me,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
dentist princeton,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
li chen dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
nathan c steele d m d,Broad match,Irrelevant,No dental or orthodontic intent,Orthodontics,1,0,0.0,0.0
horizon nj health dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
princeton oral and maxillofacial,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Braces,1,0,0.0,0.0
veneers without shaving teeth cost,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
dentist bridgewater,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
freda and suriano bloomfield nj,AI Max,Irrelevant,No dental or orthodontic intent,Orthodontics,1,0,0.0,0.0
hipple dentist,Broad match,Irrelevant,Different dental specialty / non-orthodontic service,Invisalign,1,0,0.0,0.0
wisdom tooth removal,AI Max,Irrelevant,Different dental specialty / non-orthodontic service,Orthodontics,1,0,0.0,0.0
