Tier,Negative keyword,Match type,Terms blocked (30d),Off-target blocked,Relevant blocked,Impressions,Clicks,Cost,Conversions,Example terms
4 · Out-of-market geography,queens,Phrase,0,0,0,0,0,0.0,0.0,
4 · Out-of-market geography,boston,Phrase,1,1,0,1,0,0.0,0.0,invisalign boston
4 · Out-of-market geography,philadelphia,Phrase,0,0,0,0,0,0.0,0.0,
4 · Out-of-market geography,newark,Phrase,1,1,0,1,0,0.0,0.0,rutgers dentist newark nj
4 · Out-of-market geography,north bergen,Phrase,1,1,0,2,0,0.0,0.0,8407 kennedy blvd north bergen
4 · Out-of-market geography,new hope pa,Phrase,1,1,0,1,0,0.0,0.0,dentist new hope pa
5 · Non-dental verticals,costco,Phrase,1,1,0,1,0,0.0,0.0,costco eye appointment
5 · Non-dental verticals,eye appointment,Phrase,1,1,0,1,0,0.0,0.0,costco eye appointment
5 · Non-dental verticals,eye doctor,Phrase,0,0,0,0,0,0.0,0.0,
5 · Non-dental verticals,optometrist,Phrase,0,0,0,0,0,0.0,0.0,
5 · Non-dental verticals,chiropractor,Phrase,0,0,0,0,0,0.0,0.0,
5 · Non-dental verticals,urgent care,Phrase,0,0,0,0,0,0.0,0.0,
5 · Non-dental verticals,dermatologist,Phrase,0,0,0,0,0,0.0,0.0,
6 · Competitor provider names,d m d,Phrase,2,2,0,3,0,0.0,0.0,daniel greenberg d m d ; nathan c steele d m d
6 · Competitor provider names,dmd,Phrase,1,0,0,1,0,0.0,0.0,
6 · Competitor provider names,daniel greenberg,Exact,0,0,0,0,0,0.0,0.0,
6 · Competitor provider names,nathan c steele,Exact,0,0,0,0,0,0.0,0.0,
6 · Competitor provider names,freda and suriano bloomfield nj,Exact,2,2,0,4,0,0.0,0.0,freda and suriano bloomfield nj
6 · Competitor provider names,pearly whites berkeley heights nj,Exact,1,1,0,4,0,0.0,0.0,pearly whites berkeley heights nj
7 · Navigational address lookups (exact only),213 summerhill rd east brunswick nj,Exact,1,1,0,1,0,0.0,0.0,213 summerhill rd east brunswick nj
7 · Navigational address lookups (exact only),520 lawrence square blvd,Exact,1,1,0,1,0,0.0,0.0,520 lawrence square blvd
7 · Navigational address lookups (exact only),746 livingston ave north brunswick nj 08902,Exact,1,1,0,1,0,0.0,0.0,746 livingston ave north brunswick nj 08902
7 · Navigational address lookups (exact only),8407 kennedy blvd north bergen,Exact,1,1,0,2,0,0.0,0.0,8407 kennedy blvd north bergen
