Account,Search term,Match type,Added/Excluded,Campaign,Ad group,Clicks,Impr.,Cost,Conversions,is_aimax,cat,why
Ortho Excellence,dientes de porcelana,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,mark ngo dentist puyallup,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,4,14.46,1.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,smiles 4 kids near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,Competitor practice-name navigational (no service intent)
Ortho Excellence,seamar dentist,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,kids dental 6th ave,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,3,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,your dentist snohomish,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,pacific northwest orthodontics,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,emergency dental services wa,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,cost for invisalign,Exact match,Added,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,sk family dental,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,2,14.47,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,0 down braces near me,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,oral surgeon tacoma,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,smallfoot kids dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,delta dental wa,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,5,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,frontier dental graham wa,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,orthodontic excellence bonney lake,Exact match,Added,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,4,4,38.88,3.0,False,Highly Relevant,Own brand / branded navigational
Ortho Excellence,maple dental near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,graham dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,port orchard dental excellence,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,kids dental near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,4,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,dentist tukwila,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Clearly Wasteful,Out-of-market geography
Ortho Excellence,next level orthodontics,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,dental clinic,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,4,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,interceptive orthodontics,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,best dentist near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,stadium dental tacoma,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,maple valley dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,true dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,pearl dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,demtist near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,Person/practice-name navigational (no service intent)
Ortho Excellence,jaw surgery near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,Person/practice-name navigational (no service intent)
Ortho Excellence,complete dental care of sumner,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,down to earth dental 49th avenue northeast ste d tacoma wa,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,fuller smiles bristol parkway,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,Competitor practice-name navigational (no service intent)
Ortho Excellence,dental excellence federal way,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,dental puyallup,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,2,3,28.46,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,benca and gee dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,northwest dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,10,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,emergency orthodontist near me,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,1,14.16,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,brace,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,orthodontist federal way,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,children's dental care of kent,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,simply dental seattle,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Clearly Wasteful,Out-of-market geography
Ortho Excellence,evergreen oral surgery,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,15,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,braces on teeth,Exact match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,0,1,0.0,0.0,False,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,cooley smiles,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,Competitor practice-name navigational (no service intent)
Ortho Excellence,hopke dental,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,False,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,lakewood pediatric dental associates,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,jblm dental clinic,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,woodland dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,3,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,happy kids dental chehalis,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,damon orthodontist,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,False,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,advantage dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,0 down braces near me,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,braces dentist near me,Exact match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,meridian dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,6,14.34,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,chiropractor near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Clearly Wasteful,Non-dental medical / other vertical
Ortho Excellence,complete dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,oral and facial surgery centers of washington,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,14,0.0,0.0,True,Irrelevant,No dental or orthodontic intent
Ortho Excellence,dental offices near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,3,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,dental clinic for toddler near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,orthodontist medicaid accepted near me,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Relevant / Acceptable,Ortho + insurance/coverage question
Ortho Excellence,park dental and denture clinic kent,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,dental insurance that covers braces for adults,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Relevant / Acceptable,Ortho + insurance/coverage question
Ortho Excellence,mint dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,light dental studio,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,sumner dental care,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,3,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,orthodontist near me,Exact match (close variant),Added,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,4,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,dental near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,17,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,teng smiles bellevue,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,False,Clearly Wasteful,Out-of-market geography
Ortho Excellence,oral & facial surgery centers of washington,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,8,0.0,0.0,True,Irrelevant,No dental or orthodontic intent
Ortho Excellence,newport dental near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,orthodontist near me,Exact match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,5,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,affordable braces near me,Phrase match (close variant),Added,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,peds dentist near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,light dental lakewood,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,m street dental tacoma,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,3,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,which teeth aligners are best,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,looking for dentist that accept medicaid,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,sea mar dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,willamette dental tacoma,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,parkview dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,hope orthodontics & dental care,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,0,1,0.0,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,meridian dental clinic kent,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,up smiles,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,1,7.45,0.0,True,Borderline / Low Intent,Competitor practice-name navigational (no service intent)
Ortho Excellence,fixing teeth,Phrase match (close variant),None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,False,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,dentist tehaleh,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,park dental and denture clinic,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,apple health dental providers list,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,kids dentist federal way,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,health point dental auburn,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,2,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,main street dental puyallup,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,avenue dental care near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,northwest dental services,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,1,1,14.95,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,sunrise dental of federal way 6th avenue south 102 federal way wa,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,invisalign near me,Exact match (close variant),Added,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,False,Highly Relevant,Core orthodontic service + local/commercial intent
Ortho Excellence,kb family dental renton wa,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,1,14.11,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,meridian dental clinic kent wa,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,1,7.76,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,signature dental,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,dentist renton,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,4,0.0,0.0,True,Clearly Wasteful,Out-of-market geography
Ortho Excellence,koontz dental enumclaw,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
Ortho Excellence,puyallup kids dentist,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Braces/Invisalign - Bonney Lakes,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,teeth whiteners invisalign,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,4,0.0,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,kids dentist near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,7,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,leone and vaughn bellevue,Phrase match (close variant),Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,1,1,7.34,0.0,False,Clearly Wasteful,Out-of-market geography
Ortho Excellence,dentist gig harbor,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,dentist john,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,pacific northwest orthodontics,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_BonneyLakes_Ortho,1,2,14.95,0.0,True,Relevant / Acceptable,"Core orthodontic service, no geo/commercial modifier"
Ortho Excellence,children dentist near me near me,AI Max,None,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,0,1,0.0,0.0,True,Irrelevant,Different dental specialty / non-orthodontic service
Ortho Excellence,sunrise dental kent,AI Max,Excluded,OM_Search_OE_BonneyLakes / Puyallup_2022,Search_Puyallup,1,3,14.76,0.0,True,Borderline / Low Intent,"General dentistry (adjacent, not orthodontics)"
